SepalLength,SepalWidth,PetalLength,PetalWidth,Species,size
7.64,3.0380357142857144,3.55,0.41,3,32.928035714285706
4.28,3.35,3.76,1.52,3,28.470000000000002
6.3,3.23,2.51,1.87,3,27.740000000000002
6.52,3.97,2.02,0.83,3,25.919999999999995
5.06,2.78,5.22,-0.0,3,33.78
6.83,3.25,0.8,0.66,3,20.77
5.46,2.82,3.89,0.95,3,30.25
6.96,3.06,4.7,1.02,3,36.800000000000004
5.39,3.15,1.88,1.71,3,23.159999999999997
6.96,2.67,4.68,0.23,3,35.54
4.64,2.49,2.25,1.2,3,21.970000000000002
5.14,3.8,0.28,1.42,3,16.619999999999997
7.14,2.74,3.37,0.12,3,30.62
5.94,2.72,3.99,1.34,3,31.900000000000002
7.57,3.46,5.03,2.02,3,40.74000000000001
6.44,3.0380357142857144,4.02,0.49,3,32.488035714285715
4.71,3.21,3.75,1.71,3,29.340000000000003
4.94,3.05,4.66,0.51,3,32.080000000000005
5.52,3.39,4.68,0.29,3,33.44
6.72,3.33,0.98,2.05,3,22.74
4.25,3.19,3.17,0.53,3,24.900000000000002
4.8,3.0380357142857144,5.03,1.1,3,33.85803571428571
6.08,2.79,4.05,0.86,3,32.01
4.67,3.12,6.86,1.05,3,40.949999999999996
5.38,2.92,5.53,0.55,3,36.35
5.94,3.08,4.87,0.92,3,35.36
5.64,3.1,3.75,1.21,3,30.590000000000003
6.91,2.98,3.92,0.36,3,32.839999999999996
4.91,3.46,5.92,1.36,3,38.32
5.5,2.9,3.86,0.51,3,29.849999999999998
5.13,2.96,4.42,1.0,3,31.9
5.38,3.22,2.53,2.08,3,26.18
5.79,2.66,3.41,1.66,3,29.54
5.88,2.77,2.37,0.88,3,24.89
4.9,2.84,4.1,0.46,3,29.5
4.98,2.19,0.46,0.82,3,14.81
